name;Q4_2017;Q3_2017;Q2_2017;Q1_2017;Q4_2016;Q3_2016;Q2_2016;Q1_2016;Q4_2015;Q3_2015;Q2_2015;Q1_2015;Q4_2014;Q3_2014;Q2_2014;Q1_2014;Q4_2013;Q3_2013;Q2_2013;Q1_2013;Q4_2012;Q3_2012;Q2_2012;Q1_2012;Q4_2011;Q3_2011;Q2_2011;Q1_2011;Q4_2010;Q3_2010;Q2_2010;Q1_2010;2017;2016;2015;2014;2013;2012;2011;2010
Ticari Faaliyetlerden Diğer Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Ticari Faaliyetlerden Brüt Kar (Zarar);null;58562000;52240000;59940000;218517000;36390000;42122000;59426000;61894000;68689000;62753000;69539000;53905000;33250000;49320000;53786000;48875000;51935000;54830000;50494000;37621000;47105000;41190000;37403000;55364000;63721000;73734000;68600000;67133000;61373000;76800000;61188000;null;356455000;262875000;190261000;206134000;163319000;261419000;266494000
Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Diğer Gelir ve Giderler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
BRÜT KAR (ZARAR);null;58562000;52240000;59940000;218517000;36390000;42122000;59426000;61894000;68689000;62753000;69539000;53905000;33250000;49320000;53786000;48875000;51935000;54830000;50494000;37621000;47105000;41190000;37403000;55364000;63721000;73734000;68600000;67133000;61373000;76800000;61188000;null;356455000;262875000;190261000;206134000;163319000;261419000;266494000
Pazarlama, Satış ve Dağıtım Giderleri (-);null;-26152000;-29793000;-27163000;-134701000;-22518000;-23979000;-23893000;-43482000;-37462000;-38806000;-37817000;-38845000;-31940000;-35379000;-29141000;-36827000;-28270000;-25556000;-30236000;-25423000;-23841000;-22038000;-21241000;-36869000;-24224000;-41721000;-33679000;-36445000;-30105000;-36116000;-29894000;null;-205091000;-157567000;-135305000;-120889000;-92543000;-136493000;-132560000
Genel Yönetim Giderleri (-);null;-11819000;-16618000;-16230000;-65212000;-9648000;-13379000;-10131000;-25821000;-21019000;-25807000;-23208000;-19447000;-18746000;-20850000;-19391000;-22939000;-15507000;-18745000;-16992000;-16907000;-13022000;-17745000;-14570000;-27498000;-22175000;-25678000;-25750000;-24678000;-22506000;-22359000;-21473000;null;-98370000;-95855000;-78434000;-74183000;-62244000;-101101000;-91016000
Araştırma ve Geliştirme Giderleri (-);null;0;0;0;-1850000;0;0;0;-384000;-264000;-352000;-361000;-228000;-244000;-297000;-329000;-250000;-288000;-253000;-262000;0;0;0;0;-85000;-51000;-2000;-1000;-4000;-5000;-4000;-3000;null;-1850000;-1361000;-1098000;-1053000;0;-139000;-16000
